"listing_id","avg_sentiment","review_count","complaint_counts","top_complaint","top_complaint_n","example_snippet","complaint_snippets"
"21853","0.5557212121212121","33","{""wifi"": 1}","wifi","1.0","No tuve problemas con el internet.","{""wifi"": ""No tuve problemas con el internet.""}"
"30320","0.6873919075144509","173","{""wifi"": 1}","wifi","1.0","El unico detalle es que el internet no funciona en todas las zonas del departamento.","{""wifi"": ""El unico detalle es que el internet no funciona en todas las zonas del departamento.""}"
"30959","0.4408875","8","","","","",""
"40916","0.406877358490566","53","{""maintenance"": 1, ""wifi"": 1}","maintenance","1.0","The apartment was really well located, one block away form Puerta del Sol wich is the most important metro station.","{""maintenance"": ""The apartment was really well located, one block away form Puerta del Sol wich is the most important metro station."", ""wifi"": ""Another thing (Maybe Lustina is already working on it) is that the internet acces did't work very well and cut averytime.""}"
"62423","0.4284309236947791","249","","","","",""
"70059","0.4474890625","64","","","","",""
"70073","0.3893222222222222","36","{""wifi"": 1, ""maintenance"": 2, ""comfort"": 2}","maintenance","2.0","- it’s difficult to end a shower with warm water.","{""wifi"": ""sembra matrimoniale dalle foto, in realt\u00e0 sono due singoli vicini e questo \u00e8 molto scomodo..l'altra cosa molto scomoda almeno per me \u00e9 il fatto che non c'\u00e8 ascensore quindi 3 piani a piedi con valigie, spesa, bottiglie d'acqua e un po faticoso..per il resto ok e anche internet funziona bene.."", ""maintenance"": ""- it\u2019s difficult to end a shower with warm water."", ""comfort"": ""We stayed for 3 weeks at Raquel\u2019s place and these are our comments: PROS: - Location  CONS: - The bed was small, thin, lower in the middle and overall uncomfortable.""}"
"70310","0.43667741935483867","31","","","","",""
"72150","0.6273082706766917","133","{""cleanliness"": 1, ""maintenance"": 1, ""accuracy"": 1, ""comfort"": 1}","cleanliness","1.0","Bedsheets were smelling mouldy, there was no soap even to wash our hands,  bathmat looked old and unclean, there was not even a packet of tea or coffee, heaters were not working.","{""cleanliness"": ""Bedsheets were smelling mouldy, there was no soap even to wash our hands,  bathmat looked old and unclean, there was not even a packet of tea or coffee, heaters were not working."", ""maintenance"": ""Bedsheets were smelling mouldy, there was no soap even to wash our hands,  bathmat looked old and unclean, there was not even a packet of tea or coffee, heaters were not working."", ""accuracy"": ""The apartment simply didn't feel fresh and clean but rather neglected and empty which is not what is being expected from a Airbnb experience."", ""comfort"": ""There is an extra fee for bedsheets but there was no blankets and we were freezing on the first night.""}"
"82481","0.6446314285714286","105","","","","",""
"84719","0.7439373626373627","182","","","","",""
"86042","0.7244575107296137","233","","","","",""
"100411","-0.05853333333333335","3","","","","",""
"120293","0.41583507462686564","402","{""wifi"": 2}","wifi","2.0","Lo unico dificil fue que en l reserva no aclaraba el piso y numero, por lo tanto tuve que conectarme en wifi de un bar que esta abajo y mandar un mensaje.","{""wifi"": ""Lo unico dificil fue que en l reserva no aclaraba el piso y numero, por lo tanto tuve que conectarme en wifi de un bar que esta abajo y mandar un mensaje.""}"
"136058","0.5252969072164948","97","","","","",""
"163429","0.75015","8","","","","",""
